Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
13/07/2023 0:00,POV002L09P,61,103,153,803,200.0,170.0,850.0
13/07/2023 0:00,POV500M24P,74,122,152,801,658.0,200.0,1206.0
13/07/2023 0:00,POP500M24P,83,142,114,202,306.0,80.0,363.0
16/07/2023 0:00,AT5X5K,43,121,168,350,462.4,120.0,852.0
16/07/2023 0:00,MAR01K24P,51,148,309,200,409.417,62.0,1110.0
16/07/2023 0:00,MASR025K,14,28,24,19,193.0,0.0,145.0
16/07/2023 0:00,MAHS025K,6,19,10,2,57.0,0.0,35.0
16/07/2023 0:00,SE500G24P,50,154,204,500,455.083,92.0,1043.0
18/07/2023 0:00,MAHS025K,6,19,10,60,0.0,0.0,105.0
20/07/2023 0:00,SOP001L12P,16,31,27,103,20.0,0.0,106.0
22/07/2023 0:00,ATN02K12P,31,93,125,477,658.0,95.0,498.0
23/07/2023 0:00,SOP001L12P,16,31,27,100,51.0,0.0,220.0
27/07/2023 0:00,POP001L12P,99,160,193,3004,1006.0,574.0,4390.0
30/07/2023 0:00,MASR025K,14,28,24,102,131.0,0.0,127.0
01/08/2023 0:00,MAHS025K,6,19,10,6,170.0,11.0,66.0
02/08/2023 0:00,POPF01L12P,23,36,36,100,196.0,40.0,145.0
06/08/2023 0:00,AT5X5K,43,121,168,1,212.0,50.0,752.0
06/08/2023 0:00,MAR01K24P,51,148,309,300,218.0,0.0,628.0
06/08/2023 0:00,SE500G24P,50,154,204,300,238.583,0.0,1407.0
